COMP;REGIAO;UF;MUNICIPIO;NOME_ESTABELECIMENTO;RAZAO_SOCIAL;DS_TIPO_UNIDADE;DESC_NATUREZA_JURIDICA;NO_LOGRADOURO;NU_ENDERECO;NO_BAIRRO;CO_CEP;LEITOS_EXISTENTES;LEITOS_SUS;UTI_TOTAL_EXIST;UTI_TOTAL_SUS;UTI_ADULTO_EXIST;UTI_ADULTO_SUS;UTI_PEDIATRICO_EXIST;UTI_PEDIATRICO_SUS;UTI_NEONATAL_EXIST;UTI_NEONATAL_SUS;UTI_QUEIMADO_EXIST;UTI_QUEIMADO_SUS;UTI_CORONARIANA_EXIST;UTI_CORONARIANA_SUS;ZONA
202301;SUDESTE;SP;SAO PAULO;HOSPITAL MUNICIPAL BELA VISTA SANTA DULCE DOS POBRES;PREFEITURA DO MUNICIPIO DE SAO PAULO;HOSPITAL GERAL;HOSPITAL_PÃBLICO;RUA ANTONIO CARLOS;122;CONSOLACAO;01309010;113;93;20;0;20;0;0;0;0;0;0;0;0;0;Centro
202301;SUDESTE;SP;SAO PAULO;HOSPITAL MUNICIPAL BRASILANDIA;PREFEITURA DO MUNICIPIO DE SAO PAULO;HOSPITAL GERAL;HOSPITAL_PÃBLICO;AVENIDA MICHIHISA MURATA;150;JARDIM MARISTELA;02806160;204;204;30;30;20;20;10;10;0;0;0;0;0;0;Zona Norte
202301;SUDESTE;SP;SAO PAULO;HOSPITAL MUNICIPAL BRIGADEIRO;PREFEITURA DO MUNICIPIO DE SAO PAULO;HOSPITAL GERAL;HOSPITAL_PÃBLICO;AVENIDA BRIGADEIRO LUIS ANTONIO;4805;JARDIM PAULISTA;01401002;85;75;10;0;10;0;0;0;0;0;0;0;0;0;Centro
202301;SUDESTE;SP;SAO PAULO;HOSPITAL MUNICIPAL GUARAPIRANGA;PREFEITURA DO MUNICIPIO DE SAO PAULO;HOSPITAL GERAL;HOSPITAL_PÃBLICO;ESTRADA DA RIVIERA;4742;RIVIERA PAULISTA;04916000;186;156;30;0;30;0;0;0;0;0;0;0;0;0;Zona Sul
202301;SUDESTE;SP;SAO PAULO;IMPAR SERVICOS HOSPITALARES FILIAL SANTA PAULA;IMPAR SERVICOS HOSPITALARES SA;HOSPITAL GERAL;HOSPITAL_PRIVADO;AVENIDA SANTO AMARO;2468;BROOKLIN PAULISTA;04556901;199;0;50;0;50;0;0;0;0;0;0;0;0;0;Zona Sul
202301;SUDESTE;SP;SAO PAULO;HOSPITAL SANCTA MAGGIORE DUBAI;PREVENT SENIOR PRIVATE OPERADORA DE SAUDE LTDA;HOSPITAL GERAL;HOSPITAL_PRIVADO;RUA FRANCISCO TRAMONTANO;100;REAL PARQUE;05686902;170;0;37;0;37;0;0;0;0;0;0;0;0;0;Zona Sul
202301;SUDESTE;SP;SAO PAULO;HOSPITAL E PRONTO ATENDIMENTO SANCTA MAGGIORE RUSSIA;PREVENT SENIOR PRIVATE OPERADORA DE SAUDE LTDA;HOSPITAL GERAL;HOSPITAL_PRIVADO;AVENIDA PROFESSOR FRANCISCO MORATO;1133;BUTANTA;05513100;33;0;0;0;0;0;0;0;0;0;0;0;0;0;Zona Oeste
202301;SUDESTE;SP;SAO PAULO;CRIA CASA DE PARTO;CENTRO DE PARTO HUMANIZADO VILA MARIANA EIRELI;HOSPITAL GERAL;HOSPITAL_PRIVADO;RUA DOUTOR LOPES DE ALMEIDA;16;VILA MARIANA;04120070;7;0;0;0;0;0;0;0;0;0;0;0;0;0;Zona Sul
202301;SUDESTE;SP;SAO PAULO;PA SAO RAFAEL;PA SAO RAFAEL SERVICOS MEDICOS LTDA;PRONTO SOCORRO GERAL;HOSPITAL_PRIVADO;AVENIDA ADOLFO PINHEIRO;2100;SANTO AMARO;04734003;5;0;0;0;0;0;0;0;0;0;0;0;0;0;Zona Sul
202301;SUDESTE;SP;SAO PAULO;HOSPITAL ESPORTE E SAUDE LTDA BR SURGERY;HOSPITAL ESPORTE E SAUDE LTDA;HOSPITAL GERAL;HOSPITAL_PRIVADO;AV FAGUNDES FILHO;475;VILA MONTE ALEGRE;04304010;14;0;2;0;2;0;0;0;0;0;0;0;0;0;Zona Sul
202301;SUDESTE;SP;SAO PAULO;HOSPITAL VIDAS ALTA COMPLEXIDADE;HOSPITAL E MATERNIDADE VIDAS LTDA;HOSPITAL GERAL;HOSPITAL_PRIVADO;RUA PROFESSORA MARIA DE LOURDES DE SOUZA NOGUEIRA;89;VILA GEA;04692000;61;0;10;0;10;0;0;0;0;0;0;0;0;0;Zona Sul
202301;SUDESTE;SP;SAO PAULO;HOSPITAL E PRONTO ATENDIMENTO SANCTA MAGGIORE PARIS;PREVENT SENIOR PRIVATE OPERADORA DE SAUDE LTDA;HOSPITAL GERAL;HOSPITAL_PRIVADO;RUA GENERAL CHAGAS SANTOS;314;VILA DA SAUDE;04146050;64;0;0;0;0;0;0;0;0;0;0;0;0;0;Zona Sul
202301;SUDESTE;SP;SAO PAULO;SAO LUIZ MATERNIDADE;REDE DOR SAO LUIZ S A;HOSPITAL GERAL;HOSPITAL_PRIVADO;RUA HELENA;29;VILA OLIMPIA;04552050;230;0;58;0;0;0;0;0;58;0;0;0;0;0;Zona Sul
202301;SUDESTE;SP;SAO PAULO;INSTITUTO DE INFECTOLOGIA EMILIO RIBAS SAO PAULO;SECRETARIA DE ESTADO DA SAUDE DE SAO PAULO;HOSPITAL GERAL;HOSPITAL_PÃBLICO;AV DR ARNALDO;165;CERQUEIRA CESAR;01246900;311;311;30;30;30;30;0;0;0;0;0;0;0;0;Centro
202301;SUDESTE;SP;SAO PAULO;PREVINA;PREVINA DIAGNOSTICOS MEDICOS S S LTDA;PRONTO SOCORRO GERAL;HOSPITAL_PRIVADO;AV RAIMUNDO PEREIRA DE MAGALHAES;12367;PARADA DE TAIPAS;02938000;10;0;10;0;10;0;0;0;0;0;0;0;0;0;Zona Norte
202301;SUDESTE;SP;SAO PAULO;HOSPITAL DA LUZ 92;AMICO SAUDE LTDA;HOSPITAL GERAL;HOSPITAL_PRIVADO;RUA AZEVEDO MACEDO;92;VILA MARIANA;04013060;96;0;40;0;0;0;20;0;20;0;0;0;0;0;Zona Sul
202301;SUDESTE;SP;SAO PAULO;HOSPITAL ISRAELITA ALBERT EINSTEIN;SOCIEDADE BENEFICENTE ISRAELITA BRAS HOSP ALBERT EINSTEIN;HOSPITAL GERAL;HOSPITAL_FILANTRÃPICO;AV ALBERT EINSTEIN;627;MORUMBI;05652900;669;38;94;10;54;10;18;0;22;0;0;0;0;0;Zona Sul
202301;SUDESTE;SP;SAO PAULO;HOSPITAL DO SERV PUB EST FCO MORATO DE OLIVEIRA SAO PAULO;INSTITUTO DE ASSIST MEDICA DO SERVIDOR PUBLICO ESTADUAL SP;HOSPITAL GERAL;HOSPITAL_PÃBLICO;RUA PEDRO DE TOLEDO;1800;VILA CLEMENTINO;04029000;886;6;87;0;64;0;4;0;8;0;11;0;0;0;Zona Sul
202301;SUDESTE;SP;SAO PAULO;HOSPITAL MATERNIDADE INTERLAGOS;SECRETARIA DE ESTADO DA SAUDE DE SAO PAULO;HOSPITAL ESPECIALIZADO;HOSPITAL_PÃBLICO;RUA LEONOR ALVIM;211;JD LEBLON;04802190;89;89;14;14;4;4;0;0;10;10;0;0;0;0;Zona Sul
202301;SUDESTE;SP;SAO PAULO;HOSPITAL GERAL DE PEDREIRA;SECRETARIA DE ESTADO DA SAUDE DE SAO PAULO;HOSPITAL GERAL;HOSPITAL_PÃBLICO;RUA JOAO FRANCISCO DE MOURA;251;VILA CAMPO GRANDE;04455170;295;295;41;41;23;23;6;6;12;12;0;0;0;0;Zona Sul
